,campus,calendar_system,type,acceptance_rate,division,sat_composite_25,sat_composite_75,act_composite_25,act_composite_75,net_price
Amherst,large suburb,semester,Private not-for-profit,0.128,DIII,1330,1530,31,34,19275
Barnard,large city,semester,Private not-for-profit,0.139,DI,1330,1500,30,33,26681
Bates,small city,four-one-four,Private not-for-profit,0.178,DIII,NA,NA,NA,NA,25113
Beloit,small city,semester,Private not-for-profit,0.564,DIII,607,1360,21,29,25980
Bowdoin,fringe town,semester,Private not-for-profit,0.102,DIII,NA,NA,NA,NA,24831
Bryn Mawr,large suburb,semester,Private not-for-profit,0.341,DIII,NA,NA,NA,NA,32521
Bucknell,distant town,semester,Private not-for-profit,0.33,DI,1250,1420,28,32,36305
Carleton,distant town,trimester,Private not-for-profit,0.198,DIII,1350,1530,31,34,32336
Claremont/Mc,large suburb,semester,Private not-for-profit,0.093,DIII,1350,1500,31,34,26512
Colby,remote town,four-one-four,Private not-for-profit,0.13,DIII,1350,1510,31,33,20689
Colgate,distant town,semester,Private not-for-profit,0.249,DI,1320,1510,31,34,23058
Coll Holy Cross,midsize city,semester,Private not-for-profit,0.38,DI,NA,NA,NA,NA,29050
Colorado,large city,semester,Private not-for-profit,0.152,DIII,NA,NA,NA,NA,28390
Connecticut,small city,semester,Private not-for-profit,0.377,DIII,1290,1430,30,32,38890
Davidson,large suburb,semester,Private not-for-profit,0.195,DI,1290,1450,29,33,26565
Franklin & Marshall,small city,semester,Private not-for-profit,0.353,DIII,NA,NA,NA,NA,23007
Grinnell,remote town,semester,Private not-for-profit,0.244,DIII,1370,1530,30,34,30808
Hamilton,midsize suburb,semester,Private not-for-profit,0.213,DIII,1350,1510,31,34,27809
Haverford,large suburb,semester,Private not-for-profit,0.188,DIII,1370,1530,32,34,25362
Kenyon,distant town,semester,Private not-for-profit,0.358,DIII,1280,1470,29,33,32271
Lafayette,large suburb,semester,Private not-for-profit,0.294,DI,1250,1435,27,32,26855
Lawrence,small city,trimester,Private not-for-profit,0.625,DIII,1210,1450,27,31,27436
Macalester,large city,semester,Private not-for-profit,0.412,DIII,1310,1500,29,33,29013
Middlebury,distant town,four-one-four,Private not-for-profit,0.167,DIII,1330,1500,31,34,23136
Mt Holyoke,large suburb,semester,Private not-for-profit,0.509,DIII,1290,1500,29,32,29737
Oberlin,fringe town,four-one-four,Private not-for-profit,0.362,DIII,1280,1490,29,31,43407
Occidental,large city,semester,Private not-for-profit,0.373,DIII,1270,1450,28,32,37173
Pomona,large suburb,semester,Private not-for-profit,0.076,DIII,1400,1540,31,34,16988
Reed,large city,semester,Private not-for-profit,0.35,DIII,1310,1520,30,33,31977
Sarah Lawrence,large suburb,semester,Private not-for-profit,0.558,DIII,1240,1420,27,32,40022
Scripps,large suburb,semester,Private not-for-profit,0.242,DIII,1300,1480,30,33,39070
Smith,large suburb,semester,Private not-for-profit,0.309,DIII,NA,NA,NA,NA,28123
Swarthmore,large suburb,semester,Private not-for-profit,0.095,DIII,1380,1550,31,34,19446
Trinity,midsize city,semester,Private not-for-profit,0.335,DIII,1300,1460,29,32,24962
"U of South, Sewanee",distant rural,semester,Private not-for-profit,0.652,DIII,NA,NA,NA,NA,34564
Vassar,large suburb,semester,Private not-for-profit,0.246,DIII,1370,1510,31,33,25211
Union (NY),small city,trimester,private-not-for-profit,0.387,DI,NA,NA,NA,NA,39538
Washington & Lee,distant town,four-one-four,private-not-for-profit,0.212,DIII,1348,1490,31,34,21918
Wellesley,large suburb,semester,private-not-for-profit,0.195,DIII,1330,1520,30,34,20826
Wesleyan U (CT),small city,semester,private-not-for-profit,0.174,DIII,NA,NA,NA,NA,21236
Williams,fringe town,four-one-four,private-not-for-profit,0.129,DIII,1410,1550,32,35,18979
,,,,,,,,,,
https://nces.ed.gov/ipeds/datacenter/InstitutionProfile.aspx?unitId=acb4b1b3b1b1,,,,,,,,,,
