"","college","Region","lon","lat","year","fulltime","parttime","international","SOC","female","retention","graduation","tuition","rank","endowment","state"
"1","Amherst ","Northeast",-72.5206135,42.3707379,"2008",1697,0,7.24808485562758,29.9351797289334,51.1490866234532,NA,NA,47430,NA,1706,"MA"
"2","Amherst ","Northeast",-72.5206135,42.3707379,"2009",1744,0,8.14220183486239,32.2821100917431,50.1720183486239,97,96,49078,NA,1306,"MA"
"3","Amherst ","Northeast",-72.5206135,42.3707379,"2010",1794,0,9.08584169453735,39.4648829431438,50.6688963210702,97,95,51522,2,1386,"MA"
"4","Amherst ","Northeast",-72.5206135,42.3707379,"2011",1791,0,9.71524288107203,39.9218313791178,48.5203796761586,98,94,54098,2,1642,"MA"
"5","Amherst ","Northeast",-72.5206135,42.3707379,"2012",1817,0,9.79636763896533,41.221794166208,48.7616951018162,98,94,56260,2,1641,"MA"
"6","Amherst ","Northeast",-72.5206135,42.3707379,"2013",1785,0,9.57983193277311,42.7450980392157,49.5798319327731,98,96,58744,2,1824,"MA"
"7","Amherst ","Northeast",-72.5206135,42.3707379,"2014",1792,0,9.59821428571429,43.4709821428571,48.2,98,95,61206,2,2149,"MA"
"8","Amherst ","Northeast",-72.5206135,42.3707379,"2015",1795,0,9.6,44.1782729805014,50.4,98,96,63772,2,2194,"MA"
"9","Amherst ","Northeast",-72.5206135,42.3707379,"2016",1849,0,9.4104921579232,44.6187128177393,50.1352082206598,98,94,66186,2,2032,"MA"
"10","Amherst ","Northeast",-72.5206135,42.3707379,"2017",1836,0,9.20479302832244,44.281045751634,49.4553376906318,98,95,68500,2,2248,"MA"
"11","Barnard ","Northeast",-73.9661519,40.8090974,"2008",2302,57,3.984739296312,29.4192454429843,100,NA,NA,49464,NA,216,"NY"
"12","Barnard ","Northeast",-73.9661519,40.8090974,"2009",2307,50,4.62452269834535,29.3593551124311,100,96,89,50969,NA,168,"NY"
"13","Barnard ","Northeast",-73.9661519,40.8090974,"2010",2335,55,5.06276150627615,30.1673640167364,100,95,89,53496,30,187,"NY"
"14","Barnard ","Northeast",-73.9661519,40.8090974,"2011",2389,49,5.66037735849057,31.3781788351107,100,95,91,55566,26,218,"NY"
"15","Barnard ","Northeast",-73.9661519,40.8090974,"2012",2466,43,7.06869009584665,32.3634914308489,100,94,87,57312,33,216,"NY"
"16","Barnard ","Northeast",-73.9661519,40.8090974,"2013",2464,25,7.07111289674568,36.1189232623544,100,94,82,59000,28,244,"NY"
"17","Barnard ","Northeast",-73.9661519,40.8090974,"2014",2544,33,7.42924528301887,37.5242530073729,100,95,95,60700,32,276,"NY"
"18","Barnard ","Northeast",-73.9661519,40.8090974,"2015",2510,38,8.4,38.1083202511774,100,96,90,62741,32,297,"NY"
"19","Barnard ","Northeast",-73.9661519,40.8090974,"2016",2539,46,8.30757341576507,38.6073500967118,100,96,89,65992,29,287,"NY"
"20","Barnard ","Northeast",-73.9661519,40.8090974,"2017",2574,30,9.13978494623656,38.594470046083,100,96,91,68762,27,327,"NY"
"21","Bates ","Northeast",-70.2043752,44.1057216,"2008",1776,0,5.46171171171171,13.7387387387387,53.8851351351351,NA,NA,49350,NA,267,"ME"
"22","Bates ","Northeast",-70.2043752,44.1057216,"2009",1738,0,5.63866513233602,15.9953970080552,53.3947065592635,95,89,51300,NA,184,"ME"
"23","Bates ","Northeast",-70.2043752,44.1057216,"2010",1725,0,5.91304347826087,17.8550724637681,53.8550724637681,95,89,53300,25,199,"ME"
"24","Bates ","Northeast",-70.2043752,44.1057216,"2011",1769,0,5.93555681175806,18.824194460147,52.7416619559073,95,91,55300,21,231,"ME"
"25","Bates ","Northeast",-70.2043752,44.1057216,"2012",1753,0,6.21791215059897,17.4557900741586,52.5955504848831,94,88,57235,21,216,"ME"
"26","Bates ","Northeast",-70.2043752,44.1057216,"2013",1791,0,6.47682858738135,20.4355108877722,50.3070910106086,94,92,58950,22,234,"ME"
"27","Bates ","Northeast",-70.2043752,44.1057216,"2014",1773,0,6.8809926677947,20.4737732656514,50.4,94,94,60720,22,264,"ME"
"28","Bates ","Northeast",-70.2043752,44.1057216,"2015",1792,0,5,21.0379464285714,50.7,93,93,62540,19,262,"ME"
"29","Bates ","Northeast",-70.2043752,44.1057216,"2016",1780,0,6.85393258426966,23.0898876404494,50.5056179775281,94,88,64500,25,251,"ME"
"30","Bates ","Northeast",-70.2043752,44.1057216,"2017",1787,0,7.38668158925574,21.7683268047006,50.6435366536094,94,88,66720,27,294,"ME"
"31","Beloit ","Midwest",-89.0330935,42.5030333,"2008",1312,76,6.12391930835735,11.1671469740634,56.7073170731707,NA,NA,38236,NA,132,"WI"
"32","Beloit ","Midwest",-89.0330935,42.5030333,"2009",1346,61,7.32054015636105,10.8742004264392,57.0579494799406,90,79,40248,NA,104,"WI"
"33","Beloit ","Midwest",-89.0330935,42.5030333,"2010",1324,73,9.09090909090909,15.8911954187545,57.02416918429,89,78,42202,62,108,"WI"
"34","Beloit ","Midwest",-89.0330935,42.5030333,"2011",1319,66,9.96389891696751,17.9061371841155,58.7566338134951,89,85,44176,55,115,"WI"
"35","Beloit ","Midwest",-89.0330935,42.5030333,"2012",1261,69,10.2255639097744,16.9242089771891,59.1593973037272,89,77,46336,60,117,"WI"
"36","Beloit ","Midwest",-89.0330935,42.5030333,"2013",1254,52,9.11179173047473,17.687595712098,58.9314194577352,88,76,48506,63,132,"WI"
"37","Beloit ","Midwest",-89.0330935,42.5030333,"2014",1249,54,8.56685348278623,18.1120491174213,57.3,89,78,49970,59,145,"WI"
"38","Beloit ","Midwest",-89.0330935,42.5030333,"2015",1296,62,9.1,20.3240058910162,54.9,89,78,52940,61,149,"WI"
"39","Beloit ","Midwest",-89.0330935,42.5030333,"2016",1337,57,14.6050670640835,21.4605067064083,53.6275243081526,89,80,55206,61,142,"WI"
"40","Beloit ","Midwest",-89.0330935,42.5030333,"2017",1346,56,15.9771754636234,24.3937232524964,52.5260029717682,89,82,57142,62,154,"WI"
"41","Bowdoin ","Northeast",-70.0395952,44.058008,"2008",1719,4,2.95995356935578,27.3940800928613,51.2507271669575,NA,NA,48570,NA,831,"ME"
"42","Bowdoin ","Northeast",-70.0395952,44.058008,"2009",1771,6,3.48902644907147,28.7563308947665,51.0446075663467,98,89,50900,NA,688,"ME"
"43","Bowdoin ","Northeast",-70.0395952,44.058008,"2010",1755,7,3.6322360953462,30.7037457434733,50.4843304843305,98,91,52880,6,754,"ME"
"44","Bowdoin ","Northeast",-70.0395952,44.058008,"2011",1773,5,4.04949381327334,30.3149606299213,49.2949802594473,98,94,54470,6,904,"ME"
"45","Bowdoin ","Northeast",-70.0395952,44.058008,"2012",1831,8,4.24143556280587,30.7775965198477,49.7542326597488,97,93,56128,6,902,"ME"
"46","Bowdoin ","Northeast",-70.0395952,44.058008,"2013",1791,4,4.79108635097493,30.4735376044568,49.6929089893914,96,92,57834,6,1039,"ME"
"47","Bowdoin ","Northeast",-70.0395952,44.058008,"2014",1805,3,5.15235457063712,30.4203539823009,50,96,96,59568,4,1216,"ME"
"48","Bowdoin ","Northeast",-70.0395952,44.058008,"2015",1794,5,5,31.5175097276265,49.7,96,93,61354,5,1393,"ME"
